,2024/9/16,,2024/9/17,,2024/9/19,,2024/9/20,,2024/9/23,,2024/9/24,,2024/9/26,,2024/9/27,,2024/9/30,,2024/10/1,,2024/10/3,,2024/10/4,,2024/10/7,,2024/10/8,,2024/10/10,,2024/10/11,,2024/10/14,,2024/10/15,,2024/10/17,,2024/10/18,,2024/10/21,,2024/10/22,,2024/10/24,,2024/10/25,,2024/10/28,,2024/10/29,,2024/10/31,,2024/11/1,,2024/11/4,,2024/11/5,,2024/11/7,,2024/11/8,,2024/11/11,,2024/11/12,,2024/11/14,,2024/11/15,,2024/11/18,,2024/11/19,,2024/11/21,,2024/11/22,,2024/11/25,,2024/11/26,,2024/11/28,,2024/11/29,,2024/12/2,,2024/12/3,,2024/12/5,,2024/12/6,,2024/12/9,,2024/12/10,,2024/12/12,,2024/12/13,,2024/12/16,,2024/12/17,,2024/12/19,,2024/12/20,,2024/12/23,,2024/12/24,,2024/12/26,,2024/12/27,,2025/1/6,,2025/1/7,,2025/1/9,,2025/1/10,,2025/1/13,,2025/1/14,,2025/1/16,,2025/1/17,,2025/1/20,,2025/1/21,,2025/1/23,,2025/1/24,,2025/1/27,,2025/1/28,,2025/1/30,,2025/1/31,,2025/2/3,,2025/2/4,,2025/2/6,,2025/2/7,,2025/2/10,,2025/2/11,,2025/2/13,,2025/2/14,,2025/2/17,,2025/2/18,,2025/2/20,,2025/2/21,,2025/2/24,,2025/2/25,,2025/2/27,,2025/2/28,,2025/3/3,,2025/3/4,,2025/3/6,,2025/3/7,,2025/3/10,,2025/3/11,,2025/3/13,,2025/3/14,,2025/3/17,,2025/3/18,,2025/3/20,,2025/3/21,,2025/3/24,,2025/3/25,,2025/3/27,,2025/3/28,,2025/4/7,,2025/4/8,,2025/4/10,,2025/4/11,,2025/4/14,,2025/4/15,,2025/4/17,,2025/4/18,,2025/4/21,,2025/4/22,,2025/4/24,,2025/4/25,,2025/4/28,,2025/4/29,,2025/5/1,,2025/5/5,,2025/5/6,,2025/5/8,,2025/5/9,,2025/5/12,,2025/5/13,,2025/5/15,,2025/5/16,
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
ì˙å¸óïéq,,,,,-14.9 ,,,,,-19.6 ,,,,,,,,,,,,,,,,9.8 ,,,,,,,,,,,,,,,61.1 ,,,,,,,,,,,,,,-32.9 ,,,,,,,,,,,,,-17.4 ,,,,,,,,,,,-15.3 ,,,,,,,,,,-23.4 ,,,,,,,,,,,70.0 ,,,,,,,8.8 ,,,,,,-17.5 ,,,,,,,,,,9.6 ,,,,,,,,,,,,,,,,,,,,80.3 ,,,,,,,,,7.2 ,,,,-31.5 ,,,,,,,,,,,,,,,,,,-28.1 ,,,,,,,,,5.3 ,,,,,,2.7 ,,,,-41.6 ,,,,,,,,,,,,,,,,66.8 ,,,,,,,,,,-79.2 ,,,,,,,,,,-50.3 ,,,,,,,,,,-27.7 ,,,,,,,,,,,,,,,,,,,,,,,
èºñ{ãgçO,,,,-44.4 ,,,,,,,,,,,,,,,-59.1 ,2.4 ,,,,,,,,,,-42.5 ,,,,,,,7.9 ,-49.9 ,,,,,,,,,,-19.8 ,-46.8 ,,,,,,,,,,,,,11.1 ,,,,,,,,,,-3.8 ,,,18.3 ,,,,,,,,,-71.2 ,,,,,,,,,,,,,,,,,,,5.3 ,,,,,,,,,-58.7 ,,,,,,,,,,,,-21.9 ,,,,,,,,,-58.7 ,,,,,,,,,,,,,,2.9 ,,,,,,,,,,,,,,,,,,,,,,52.3 ,,,,-26.0 ,,,,,,,,,,,-17.6 ,-19.6 ,,,,,,,,,,,,,13.2 ,,,,,,,,,,,,,,,,,,,-54.1 ,,,,,,,,,-41.3 ,,,,,,54.5 ,,,,,-49.9 ,,,,,,-44.9 ,,,,,,,,,,,,,,,,,,,
çïëÚçÁ,,,,,,-52.4 ,,,,,,,,-18.8 ,,,,,,,,-21.9 ,,,,,,,,,52.9 ,,,,,,,,,,,,,,7.9 ,,,,,-65.2 ,,,,,,,,,,,,,,60.6 ,,,,,,,,,,,,,-25.7 ,,,,,,,,,,21.6 ,,,,,60.6 ,,,,,,-75.5 ,,,,,,,,,,,,,,,,,-52.2 ,,,,,,,,,,,,,11.1 ,,,,,,,-56.8 ,,,,,,,,,,,,,,,,,,70.9 ,,,,,,,,,,,,,,,-38.2 ,,,,,,,,,,,,,72.4 ,,,,,,,,,10.4 ,,,,,,,,,72.0 ,,,,,,,,65.7 ,,,,,,,,,,,,,,58.5 ,,,,,,,,,,-18.8 ,,,,,,-24.6 ,,,,59.6 ,,,,54.2 ,,,,-72.4 ,,,,,-19.7 ,,,,-25.3 ,,,19.8 ,
îííπ„ƒ,,,-24.6 ,,,,,,-54.7 ,,,,,,,,,,,,,,,,63.9 ,,,,-42.8 ,,,,,3.6 ,,,,,,,,-25.9 ,,,,,,,,-35.0 ,,,,,,,,,,,62.8 ,,,,,,,,,,-67.0 ,,,,,,,,,-51.2 ,,,,,,,,85.9 ,,-15.3 ,,,,,,,,,,,,,,55.7 ,,,,61.1 ,,,52.1 ,,,67.7 ,,,,,64.0 ,-20.2 ,,,,,,,,56.3 ,,,,,,7.5 ,,,,-20.1 ,,,,,,,,,,68.4 ,,,19.4 ,,,,65.1 ,,-25.8 ,,,,,,,78.6 ,,,,,,-7.9 ,,,,,,,-42.8 ,,,,,,,,,,,,,-21.2 ,,,,-23.2 ,,,,,,,,,,,-20.3 ,53.3 ,,,,7.1 ,,,2.8 ,26.7 ,,,,,,23.3 ,,,,,-25.2 ,,,12.9 ,,,-41.2 ,,,,,,,,,11.8 ,,-16.8 ,,,,,,,,,,,,,,,,,,,,
ì‡êÏçKëæòY,,,,,,,-48.8 ,,,,-18.9 ,,,,,,,,,,85.2 ,,,,,,,,,,,,,,,-19.2 ,,,-68.1 ,,,,,,,,,,,,6.7 ,,,,,,,,,,,,,,-39.4 ,,,,,,,,,,,,,,,7.3 ,,,,,,,,,,,,,,,,,-11.2 ,,,,,,,,,61.7 ,,,,,,,,,,,,,,,-22.7 ,,,,,,,,,,,,16.2 ,48.2 ,,,,,,-11.4 ,,,,,,,,,,,,-65.7 ,,,,,,,,,,,,,,-16.7 ,,,,,,,,,,,,,,-27.1 ,,,,,,,,,,,,3.7 ,,,,,,,,,,,,,,,,,,,63.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
çÇã{Ç‹ÇË,,,,,,,,,,-47.4 ,,,-72.1 ,,,,,,,,,,,,,,,,6.7 ,,,,,,,,48.1 ,,,,,,,17.3 ,,,,,,,-14.9 ,,,,,,,,-51.8 ,,,,,,,-15.0 ,,,,,,,,,,,61.3 ,,,,,,,,,,,,,,-56.1 ,,,,,,,,,,,,,,,,-15.3 ,,,,,,,,,,13.6 ,,,,,,,,,,,-9.7 ,,,17.5 ,,,,,,,,,-55.2 ,,,,,,,,,,5.6 ,,,,-23.0 ,,,,,,,,,,,,,-66.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.8 ,,,,,,,,,,,12.6 ,,,,,,-46.4 ,,,,,,,,,,,,,,,,,,,,,
êÛà‰ì∞äÚ,,,,,,,,,,9.4 ,,,,,,,,,18.9 ,,-59.4 ,,,,,,,-57.2 ,,,,57.6 ,,,,,,,,,,,,,,,,,12.2 ,,,,,-49.5 ,,,,,,,,,58.9 ,,,,,,,,,-55.4 ,,,,,,,,,,-12.1 ,,,,81.6 ,,,-2.8 ,,,,,,,,,,,,,,,-50.2 ,,,,,60.8 ,,,,,,,,,,,,,,,,,,,,,-75.8 ,,,,,,,-63.8 ,,,,,,,,-48.3 ,,,,,,,,,,,-63.7 ,,,,,,,,,,,,,,,-15.5 ,,,,,,,-14.3 ,,,,,,,,,,,,,,,,,,61.0 ,,,,,,-16.2 ,,,,8.5 ,,,,,,,,,,,,,,,,-19.5 ,,,,-16.6 ,,,,,,,,,,14.4 ,,,,,,50.0 ,,,,,,,,-15.1 ,8.7 ,,,,,,,,,,-78.3 ,
ê£åÀåFíºé˜,,,,,77.6 ,,,,7.3 ,,,,,,,,9.9 ,,,,,,,,,,,,,,,-52.4 ,,,,,,,,,-18.0 ,,,,,,,,,,,,51.6 ,,,,,,,,,,-24.5 ,,,,,,,,,,-57.9 ,,,,,,,,,,,,,,,13.8 ,,,,,,,-21.2 ,,,,,,,,,,,,,,,,-42.3 ,,,,,,,,,3.6 ,,,-17.0 ,,,,,,,,,,,,,55.4 ,,,,,,,,,,,,-32.0 ,,,,,,,,,,,,57.7 ,,,52.6 ,,,,,,,,,,,,-21.8 ,,,,,,,,,,,9.9 ,,,,,,,54.2 ,,,,,,,,,,64.2 ,,,,,,,,,,,,,,,,24.5 ,,,,,-46.5 ,,,,,,,,-17.3 ,,,,,,,-55.0 ,,,,,,,,,-40.3 ,,,,,79.9 ,,52.4 ,,,,-38.5 ,,,
îãå¥êπêl,,-76.7 ,,,,,,,,,,,-10.5 ,,,,,-37.1 ,,,,,,,,,-9.6 ,,,,,,,,,,,-24.7 ,,,,,,,,,,,53.3 ,,,,,,,,,40.7 ,,,,,,,19.7 ,,,,,,,,,-1.4 ,,,,,,,,,,19.6 ,,,,,,,,,,,,,9.8 ,,,,,13.5 ,,,,,,,,,,,,,,14.6 ,,,,,,,,13.0 ,,,,,,,,,,,,,,,1.9 ,,,,,,,,,,,,-14.8 ,,,0.4 ,,,,,,,,,,-60.1 ,,,,,,,-53.6 ,,,,,,,,,,,,,,67.9 ,,,,,,,,,16.3 ,,,,,,,,,,,,,,10.7 ,,,-43.0 ,-45.8 ,,,,,,,,,,,-48.5 ,,,,,-65.8 ,,,,,,,,,,-55.5 ,,,,,,,,,12.6 ,,,,,-55.6 ,,,,,-41.6 ,,,,,-29.9 
ëΩà‰ó≤ê∞,,,,,,12.2 ,,,,,,,,,58.2 ,-14.8 ,,,,,,,,,,,,,,,,,-74.3 ,,,,,,,,,,,,,,-42.6 ,,,,,,,,,66.4 ,,,,,,,,,,,-16.7 ,,,,,,,,,-54.9 ,,,,,,,57.2 ,,,,-56.7 ,,,,,,,,,,,,-66.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.6 ,,,,,,,,,,-19.6 ,,,,,,,-18.7 ,,,,,,,,,,,,,,57.1 ,,,,,-41.9 ,,,,,,,,,,,,,,,-46.5 ,,,,,,,,-13.9 ,,,,,,,,,,,-23.2 ,,,,,,,,,,,,,,,,,,,,,-47.0 ,,,,,,,,,-16.2 ,,,-50.0 ,,,,,,,,-19.4 ,,,-16.7 ,,,-45.1 ,,,,,,,,,,,,,,,,,,
