,2025/09/15,2025/09/15,2025/09/16,2025/09/16,2025/09/18,2025/09/18,2025/09/19,2025/09/19,2025/09/22,2025/09/22,2025/09/23,2025/09/23,2025/09/25,2025/09/25,2025/09/26,2025/09/26,2025/09/29,2025/09/29,2025/09/30,2025/09/30,2025/10/02,2025/10/02,2025/10/03,2025/10/03,2025/10/06,2025/10/06,2025/10/07,2025/10/07,2025/10/09,2025/10/09,2025/10/10,2025/10/10,2025/10/13,2025/10/13,2025/10/14,2025/10/14,2025/10/16,2025/10/16,2025/10/17,2025/10/17,2025/10/20,2025/10/20,2025/10/21,2025/10/21,2025/10/23,2025/10/23,2025/10/24,2025/10/24,2025/10/27,2025/10/27,2025/10/28,2025/10/28,2025/10/30,2025/10/30,2025/10/31,2025/10/31,2025/11/03,2025/11/03,2025/11/04,2025/11/04,2025/11/06,2025/11/06,2025/11/07,2025/11/07,2025/11/10,2025/11/10,2025/11/11,2025/11/11,2025/11/13,2025/11/13,2025/11/14,2025/11/14,2025/11/17,2025/11/17,2025/11/18,2025/11/18,2025/11/20,2025/11/20,2025/11/21,2025/11/21,2025/11/24,2025/11/24,2025/11/25,2025/11/25,2025/11/27,2025/11/27,2025/11/28,2025/11/28,2025/12/01,2025/12/01,2025/12/02,2025/12/02,2025/12/04,2025/12/04,2025/12/05,2025/12/05,2025/12/08,2025/12/08,2025/12/09,2025/12/09,2025/12/11,2025/12/11,2025/12/12,2025/12/12,2025/12/15,2025/12/15,2025/12/16,2025/12/16,2025/12/18,2025/12/18,2025/12/19,2025/12/19,2025/12/22,2025/12/22,2025/12/23,2025/12/23,2025/12/25,2025/12/25,2025/12/26,2025/12/26
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
HIROéƒìc,,,,,,,,-67.4,,,,,,6.6,,,,,-48.4,,,,,,-53.8,,,,,,,,,,-22.2,,,,,,,,,,,,,,,,65.6,-15.3,,,,,,100.2,,,,,,-57.7,,,,,,11.6,,,,,,5.8,,,,,,5.0,,,7.8,,,-53.5,,,55.7,,,,,,,-20.6,,,,,-12.7,,,,,,,,,,,,-50.4,,,,,
éOâYíqîé,,-55.0,,,,,,,,,,,,,,-67.9,,,,,23.5,,,,,,,,-34.0,,,-53.9,,,,,,-60.1,,,,,,,,,,,,,,,,,52.0,-18.6,,,,,-22.6,,,,,,,,-51.5,,,,,,,,-44.2,,,,,,,,,,,,,,,,-54.1,,,,,,,,,13.1,,10.9,,,,,,,,8.7,,,,,,-31.1,,
â∫êŒåÅ,-48.8,,,,,,,,,,-21.4,,20.4,,,,,,,,,61.3,,,,,-18.5,,,,55.7,,,10.6,,,,,60.1,,,,,,,,,,,,,,57.8,,,,,,,,,7.3,,,,,,,,,-41.1,,,,,,,8.3,,64.7,,,,,,7.0,,,,,-44.1,,,,,13.6,,,,,,,55.9,55.5,,,,,,,,,,,11.4,,,,,-29.7
íÜìcâ‘ìﬁ,,,,,,,,,,,,6.9,,,,,-15.3,,,,5.6,,,,,,,,,,,-29.9,,,,,,-20.5,,,,,,,,,61.2,,,,,5.5,,,,,81.9,,,,,,-21.1,,,,,,,,,-41.0,,52.6,,,,,68.9,,,,,,,,-45.4,,,,,,,,78.7,,,,,,-41.3,,,,,,,,-23.0,,,,,,,,,,-24.4,
ìÒäKì∞àüé˜,,,-23.8,,,,,,,,,,67.4,,,,,,,,,17.4,,,,,,,,-54.5,,,,,,,,,,,,,73.6,,,,,,,,,,,,19.2,,,,,,,,,,59.1,,,,-13.3,,,,,,,-41.2,,-17.7,,,,,,,,,,,,,,,,11.5,-51.9,,,,,,,,,5.6,8.8,,,,,,,19.3,,,,,-51.3,,,
íáó—å\,,66.4,,,,,,,,,,-17.7,,,-26.8,,,,,,,,,-78.4,,,,,,-23.7,,,,,,,,,16.4,,,,,,,,,-61.0,,,-54.4,,,,,,,,,,,-57.5,,,,,,-58.0,,,,,99.1,,,,3.4,,,,,,,,,,,10.8,,,,66.6,,,20.3,,,9.4,,,,,,,,,,-66.8,,,,,,7.6,,,,,,-57.4
à…íBéÈó¢é—,,,,-17.1,,,,,,,,,,-19.6,,,,,,,,-23.1,,28.3,,,,,,,,7.7,,,,,,,,,,,-68.3,,,75.0,,,61.4,,,,12.5,,,,,,,,,,7.6,,,,,,,,,,,,,,,,16.4,,,54.3,,,54.2,,,,,,,-48.7,,,,,,,,,,-11.8,,80.9,,,,,-46.3,,,,,,,0.8,,,,
ç≤ÅXñÿéıêl,,,6.2,,,,,,14.1,,,,,,,,,,,,,,-63.3,,,,,,,,62.7,,9.4,,,,63.2,,,-47.6,,,,,,,,,,-44.7,,,,,-27.9,,,,,,,11.9,,,,,,,49.5,,,,21.2,,,,,,,17.8,,,,,,,,,,,5.9,,7.2,,,,,,,,,,8.1,,,,,,,3.9,-71.5,,,,,,,18.5,,
ì‡êÏçKëæòY,,,,-50.5,,,,64.2,,,,,,,,70.1,,,,59.6,,,,,,,,,-72.2,,,-1.7,,,,,10.1,-12.8,,,,,,,,,-19.2,,,,,,,8.2,,-24.2,,,,,,,,,,57.7,,,,,65.2,,,,12.1,,,,,,,-19.5,,,,48.1,,7.6,,,,,,,,,,,-32.9,,,,,,,,,,58.0,-21.0,,,,,,,,,,-52.6
èüñîåíéu,,,,,,,,,,,,,,12.0,,,,,,,,,,,70.2,,,,,,-52.6,,,,,,,,-23.0,,,,,11.5,,,,-17.9,,8.7,,,,,,,,,,,,,,,,,,,,15.1,,9.4,,,,,-60.7,,,,,,,,,,-63.6,,,,,,,,,,,,,,,,1.8,,,-50.8,,,,,,,,,,,,7.6,,
âÄìcå´,54.9,,,,,,,,,,,,,,67.2,,,,,17.2,,,,-19.5,,,,,54.4,,,-14.5,,,,,,,,,5.9,,,,,75.8,,,,,,,,-59.5,,,,3.5,,,,,,,,,,,12.6,,,-58.1,,,,,,,-20.3,,,,,,-44.0,,,,,,,,-51.5,,,,,,,9.1,,-65.3,,,,-20.7,,-36.1,,,,,65.8,,,,,,,
ñxêTå·,,,,,,,,,,,,,,,-50.8,,,,,-51.9,,,,,,,,,,-15.9,,85.5,,,,,,,,-26.0,,,,,-18.4,,,-15.6,,,,,,,,63.3,,,,,,-13.9,,,,,,,-44.7,,,,,,,,,-43.9,,,,,-46.4,,,,,,50.6,-57.3,,,,,,-47.2,,,,,,54.9,,,,,,,,4.1,,,-51.0,,,,,,,
ëΩà‰ó≤ê∞,,,,,,,-49.7,,,,,,,,,,,,,,,78.4,,,,,,2.0,,,,,,,,,,7.0,,60.7,,,,-44.2,,-1.1,,,,59.1,,,,-27.6,,-67.6,,,,,,,,,,,,59.9,,,,-20.9,,-45.8,,,,,,-15.2,,,,,,,,53.9,,18.7,,,,,,13.8,,,,73.2,,,,,,11.8,,,,-25.5,,-19.9,,,,,,-31.1,,
è¨ó—çÑ,,,,,,-25.5,,,,,10.6,,,,,,,,,,,-66.7,12.4,,,,,-19.7,,,,,,,,,,59.8,,,,,,,18.2,,,,,,,-46.9,,,,,,,,,-46.5,,,,,,,,8.5,,,,,8.7,,,,62.5,,,,,,,,-15.0,,,,,,,,,,,,,,,-58.7,,,-19.4,,,,,,,,-43.4,,,,,,54.6,-45.1,
â™ìcé—â¿,,,,11.7,,,,,,,,,,,,-68.5,,,,,,,-21.9,,12.8,,,,,,,,,,,9.7,,,-43.5,,-15.7,,,,,,,,,,,,,,-19.1,,,,-29.5,,,,,,10.5,-16.2,,,,,,,,,,,77.7,,,,,,,13.4,,,,,,,,,-20.8,,,,,,,,17.0,,,,,,55.0,,,,,,,-41.0,,,,,,
ì˙å¸óïéq,,,,,,,,,-16.7,,,,-77.9,,,,,,,,,,,89.6,,,,,4.3,,,,,,,,,,-65.2,,,,,,,,,,-15.7,,,,,,,,,,,,24.8,,,-21.6,,,,,,,,,-90.9,,,,,,,,,,6.8,,,,,,-16.6,,,,,,,,,,,,1.9,,,,,,,,-17.9,,,,,,,,,,5.0,
ñ{ìcï¸çL,,,,,,-0.6,,,,,,,,56.1,,,51.3,,,,,,6.1,6.6,,,,,,,-45.6,,,,,,,,,11.5,,,,,,,78.4,,-63.4,,,,,,,14.0,,,,,,-18.7,,,,-54.5,,,-14.4,,,,,,,,,-20.7,,,,,,,-18.0,,,,,-23.2,,,,,61.3,,,,,,,,,-21.8,,,-21.2,,,,,,-26.9,,,,23.4,,,
ìåèÈÇËÇ®,,6.1,,,-15.9,,,,,,,,,-18.7,,,,,,,,,,63.4,,,,,,,,,-23.2,,,,,,,,,,,,-48.7,,,-38.1,,,,,,63.6,,,,,,,66.8,,,67.0,,,,-19.6,,,,,,,,,-35.6,,,,,,,,,,,-43.2,,,,-19.0,,,,,,54.2,,,,68.4,,,,,,,,-47.3,,,,,,-21.7,,,,
èºñ{ãgçO,,,-58.4,,,,,,,,,,,-47.1,,-33.3,,,,,,,-25.0,,,,13.3,,,,,,,60.0,,,-63.8,,,,,,,,10.0,,,,,,,,56.0,,,,,,,,,,65.8,,,,,,,,-68.1,,,,,,,-42.7,,,,,,-60.6,,,,,,,,,69.6,,-29.7,,,,-63.0,,,,,,,,,,,,-25.7,,,,,,,,,18.9
âià‰çFìT,,,,,,,62.8,,,,,,,,12.7,,,,59.1,,-14.8,,,,,-77.9,,,,,,,,,,,,,,65.4,,,,,,,,,17.7,,,,6.2,,,,,,87.1,60.1,,,69.6,-49.4,,,,,,,,,,,,,,,,,-19.6,,,,59.0,,,,,,,,61.4,,,63.1,,,,-62.2,,,,,,,,,,,4.1,,,,,,,,66.2,
êÛà‰ì∞äÚ,,,,,,-46.6,,,,,,,,,-49.6,,,,,,,,75.9,-39.5,,,,,,64.8,,,,,,,,13.1,,,,-33.1,,,,,-46.6,,,,,,,,,22.9,,,-51.7,,,,,13.2,,13.0,,,,55.0,,,,,,,,,59.7,,,,,,,,-18.1,,,,,,,-41.6,,,,,,,,,,,,,,,,,,,,,,,,,,
êÛå©ê^ãI,,,,,,,,,,,,,-17.6,,,,,,,,,,69.5,,,,,,,,,,,,59.0,,,,,,,,,,,,4.6,,,,,,-16.8,,,,,,,,-73.3,,,,,,,,,,-18.9,,,,,,,,,,11.3,,,,,,71.2,,,,,,,,,,,,80.4,,,,,,-46.0,,,,,,-53.9,,,,,,-36.3,,,
